time,open,high,low,close,tick_volume,spread,real_volume
1218556800,1.4925,1.4932,1.4897,1.491,980,20,0
1218560400,1.4909,1.4910999999999999,1.4883,1.4903,1024,20,0
1218564000,1.4904,1.4910999999999999,1.4884,1.4889000000000001,558,20,0
1218567600,1.4888,1.4929999999999999,1.4888,1.4929000000000001,593,20,0
1218571200,1.4929999999999999,1.4935,1.491,1.4913,397,20,0
1218574800,1.4914,1.4925,1.4912,1.492,390,20,0
1218578400,1.4921,1.4926,1.4916,1.4926,291,20,0
1218582000,1.4925,1.4925,1.4902,1.4912,259,20,0
1218585600,1.4913,1.4921,1.4912,1.4915,232,20,0
1218589200,1.4914,1.4914,1.4885,1.4889999999999999,504,20,0
1218592800,1.4891,1.4929000000000001,1.4888,1.4928,458,20,0
1218596400,1.4927000000000001,1.4931,1.4916,1.4927000000000001,483,20,0
1218600000,1.4928,1.4928,1.4897,1.4917,720,20,0
1218603600,1.4916,1.4936,1.4913,1.4931,325,20,0
1218607200,1.4929999999999999,1.4935,1.4921,1.4923,283,20,0
1218610800,1.4924,1.4936,1.4910999999999999,1.4924,406,20,0
1218614400,1.4923,1.495,1.4905,1.4943,1015,20,0
1218618000,1.4944,1.4977,1.4934,1.4936,1035,20,0
1218621600,1.4937,1.4937,1.4899,1.4919,1021,20,0
1218625200,1.4917,1.4937,1.4910999999999999,1.4919,928,20,0
1218628800,1.4921,1.4921,1.4855,1.4870999999999999,1226,20,0
